time,seconds_elapsed,dBFS
1663326946510000000,0.001000244140625,-120
1663326946510000000,0.001000244140625,-120
1663326946511000000,0.002,-120
1663326946511000000,0.002,-120
1663326946511000000,0.002,-120
1663326946522000000,0.012999755859375,-120
1663326946620000000,0.111,-120
1663326946720000000,0.211,-105.01445770263672
1663326946837000000,0.328,-50.328460693359375
1663326946937000000,0.428,-47.451446533203125
1663326947038000000,0.529000244140625,-49.77625274658203
1663326947139000000,0.63,-50.20454025268555
1663326947240000000,0.731,-50.90053176879883
1663326947354000000,0.844999755859375,-54.13304138183594
1663326947471000000,0.962,-58.94916915893555
1663326947570000000,1.060999755859375,-61.63139343261719
1663326947670000000,1.161000244140625,-65.78941345214844
1663326947770000000,1.260999755859375,-67.39456176757812
1663326947870000000,1.361000244140625,-68.70455932617188
1663326947970000000,1.460999755859375,-71.55116271972656
1663326948070000000,1.561000244140625,-71.35550689697266
1663326948169000000,1.66,-73.07239532470703
1663326948270000000,1.761000244140625,-74.16542053222656
1663326948386000000,1.876999755859375,-71.973388671875
1663326948486000000,1.977000244140625,-72.3618392944336
1663326948586000000,2.076999755859375,-72.91907501220703
1663326948686000000,2.177000244140625,-68.6541519165039
1663326948786000000,2.276999755859375,-70.05111694335938
1663326948886000000,2.377000244140625,-61.65985107421875
1663326948986000000,2.476999755859375,-46.92850875854492
1663326949086000000,2.577000244140625,-49.77330017089844
1663326949186000000,2.676999755859375,-51.26692581176758
1663326949303000000,2.794,-46.1493034362793
1663326949402000000,2.892999755859375,-44.35017013549805
1663326949503000000,2.994,-49.14546585083008
1663326949603000000,3.094,-52.84344482421875
1663326949702000000,3.193000244140625,-56.32400894165039
1663326949802000000,3.292999755859375,-61.401763916015625
1663326949902000000,3.393000244140625,-64.36598205566406
1663326950002000000,3.492999755859375,-65.73271942138672
1663326950102000000,3.593000244140625,-63.02644729614258
1663326950218000000,3.708999755859375,-42.643306732177734
1663326950319000000,3.81,-48.228946685791016
1663326950418000000,3.908999755859375,-51.88029098510742
1663326950518000000,4.009000244140625,-50.38325119018555
1663326950618000000,4.108999755859375,-51.88649368286133
1663326950718000000,4.209000244140625,-54.7933349609375
1663326950818000000,4.308999755859375,-47.7495231628418
1663326950918000000,4.409000244140625,-50.93431091308594
1663326951018000000,4.508999755859375,-54.652828216552734
1663326951118000000,4.609000244140625,-57.69764709472656
1663326951235000000,4.726,-59.547218322753906
1663326951335000000,4.826,-63.91963577270508
1663326951435000000,4.926,-52.978843688964844
1663326951534000000,5.025000244140625,-55.95870590209961
1663326951634000000,5.124999755859375,-48.17186737060547
1663326951734000000,5.225000244140625,-43.904354095458984
1663326951834000000,5.324999755859375,-43.714900970458984
1663326951934000000,5.425000244140625,-44.977596282958984
1663326952034000000,5.524999755859375,-44.29399108886719
1663326952150000000,5.641000244140625,-45.62185287475586
1663326952249000000,5.74,-46.357852935791016
1663326952349000000,5.84,-48.42567443847656
1663326952450000000,5.940999755859375,-52.85553741455078
1663326952550000000,6.041000244140625,-56.47822189331055
1663326952650000000,6.140999755859375,-57.054344177246094
1663326952750000000,6.241000244140625,-56.20799255371094
1663326952850000000,6.340999755859375,-58.047637939453125
1663326952950000000,6.441000244140625,-61.806758880615234
1663326953050000000,6.540999755859375,-49.47895431518555
1663326953167000000,6.658,-54.199195861816406
1663326953266000000,6.756999755859375,-55.932918548583984
1663326953370000000,6.860999755859375,-37.790164947509766
1663326953466000000,6.956999755859375,-39.1865348815918
1663326953566000000,7.057000244140625,-42.57033157348633
1663326953666000000,7.156999755859375,-46.292030334472656
1663326953766000000,7.257000244140625,-51.1933479309082
1663326953866000000,7.356999755859375,-54.66790771484375
1663326953966000000,7.457000244140625,-58.13776779174805
1663326954066000000,7.556999755859375,-62.379756927490234
1663326954183000000,7.674,-53.897857666015625
1663326954282000000,7.772999755859375,-48.27127456665039
1663326954382000000,7.873000244140625,-45.53657913208008
1663326954482000000,7.972999755859375,-46.04515075683594
1663326954582000000,8.073000244140625,-48.87864303588867
1663326954682000000,8.172999755859376,-50.29507827758789
1663326954782000000,8.273000244140626,-53.79845428466797
1663326954882000000,8.372999755859375,-43.4514274597168
1663326954981000000,8.472,-45.145591735839844
1663326955099000000,8.59,-49.82328414916992
1663326955198000000,8.689000244140624,-53.58357620239258
1663326955298000000,8.788999755859376,-58.41818618774414
1663326955398000000,8.889000244140625,-61.01277542114258
1663326955498000000,8.988999755859375,-63.54430389404297
1663326955598000000,9.089000244140625,-61.2859992980957
1663326955698000000,9.188999755859374,-29.65577507019043
1663326955798000000,9.289000244140626,-30.648298263549805
1663326955898000000,9.388999755859375,-35.766639709472656
1663326956015000000,9.506,-39.373966217041016
1663326956114000000,9.604999755859374,-41.48868179321289
1663326956214000000,9.705000244140624,-45.210411071777344
1663326956314000000,9.804999755859376,-49.036380767822266
1663326956414000000,9.905000244140625,-53.93773651123047
1663326956514000000,10.004999755859375,-57.338401794433594
1663326956614000000,10.105000244140625,-60.55037307739258
1663326956715000000,10.206,-50.049766540527344
1663326956814000000,10.305000244140626,-53.58806228637695
1663326956914000000,10.404999755859375,-56.6370735168457
1663326957015000000,10.506,-61.406917572021484
1663326957117000000,10.608,-63.65645217895508
1663326957230000000,10.721000244140624,-57.31937026977539
1663326957330000000,10.820999755859376,-59.70674133300781
1663326957430000000,10.921000244140625,-48.90411376953125
1663326957530000000,11.020999755859375,-46.8105583190918
1663326957630000000,11.121000244140625,-48.84743881225586
1663326957730000000,11.220999755859374,-53.17918014526367
1663326957847000000,11.338,-55.91773223876953
1663326957950000000,11.441000244140625,-46.7353515625
1663326958046000000,11.537000244140625,-50.502506256103516
1663326958146000000,11.636999755859375,-53.44426727294922
1663326958246000000,11.737000244140624,-58.563560485839844
1663326958346000000,11.836999755859376,-61.772743225097656
1663326958446000000,11.937000244140625,-65.12566375732422
1663326958546000000,12.036999755859375,-69.32271575927734
1663326958663000000,12.154,-71.1395263671875
1663326958763000000,12.254,-33.97871780395508
1663326958862000000,12.353000244140626,-36.118751525878906
1663326958961000000,12.452,-37.364845275878906
1663326959061000000,12.552,-43.235694885253906
1663326959161000000,12.652,-47.084651947021484
1663326959262000000,12.753000244140624,-45.8162956237793
1663326959362000000,12.852999755859376,-49.083160400390625
1663326959462000000,12.953000244140625,-50.75554656982422
1663326959579000000,13.07,-54.3638801574707
1663326959678000000,13.169000244140625,-56.42101287841797
1663326959778000000,13.268999755859374,-61.14365768432617
1663326959878000000,13.369000244140626,-64.41493225097656
1663326959978000000,13.468999755859375,-49.54650115966797
1663326960078000000,13.569000244140625,-53.964969635009766
1663326960178000000,13.668999755859375,-56.47798538208008
1663326960278000000,13.769000244140624,-53.399742126464844
1663326960378000000,13.868999755859376,-52.966278076171875
1663326960495000000,13.986,-56.142066955566406
1663326960594000000,14.084999755859375,-52.09101486206055
1663326960694000000,14.185000244140625,-55.68233108520508
1663326960794000000,14.284999755859374,-59.241294860839844
1663326960894000000,14.385000244140626,-51.981834411621094
1663326960994000000,14.484999755859375,-49.26369094848633
1663326961094000000,14.585000244140625,-52.30196762084961
1663326961194000000,14.684999755859375,-52.46432113647461
1663326961310000000,14.801000244140624,-49.33839797973633
1663326961410000000,14.900999755859376,-52.24908447265625
1663326961510000000,15.001000244140625,-51.83458709716797
1663326961610000000,15.100999755859375,-47.58201217651367
1663326961710000000,15.201000244140625,-48.883445739746094
1663326961810000000,15.300999755859374,-51.74113845825195
1663326961910000000,15.401000244140626,-56.18458557128906
1663326962010000000,15.500999755859375,-58.526161193847656
1663326962126000000,15.617000244140625,-41.32937240600586
1663326962226000000,15.716999755859375,-43.53709030151367
1663326962326000000,15.817000244140624,-45.933895111083984
1663326962426000000,15.916999755859376,-50.61723709106445
1663326962526000000,16.017000244140625,-54.20092010498047
1663326962626000000,16.116999755859375,-57.534122467041016
1663326962726000000,16.217000244140625,-62.31081008911133
1663326962826000000,16.316999755859374,-54.16069412231445
1663326962926000000,16.417000244140624,-40.65442657470703
1663326963047000000,16.538,-44.0069580078125
1663326963142000000,16.633000244140625,-47.49154281616211
1663326963242000000,16.732999755859375,-45.31068420410156
1663326963342000000,16.833000244140624,-49.05900573730469
1663326963442000000,16.932999755859374,-45.967979431152344
1663326963542000000,17.033000244140624,-48.8360595703125
1663326963642000000,17.132999755859377,-50.953243255615234
1663326963759000000,17.25,-47.8851432800293
1663326963857000000,17.348,-47.03753662109375
1663326963957000000,17.448,-51.494651794433594
1663326964059000000,17.55,-48.85009002685547
1663326964174000000,17.665000244140625,-50.626304626464844
1663326964275000000,17.766,-45.59759521484375
1663326964375000000,17.866,-48.43581008911133
1663326964478000000,17.969000244140624,-40.74528884887695
1663326964594000000,18.084999755859375,-43.8967170715332
1663326964708000000,18.199,-42.33970260620117
1663326964824000000,18.315,-47.77908706665039
1663326964924000000,18.415,-51.564300537109375
1663326965024000000,18.515,-55.65298080444336
1663326965126000000,18.617000244140623,-57.889503479003906
1663326965224000000,18.715,-61.22633361816406
1663326965324000000,18.815,-50.56364822387695
1663326965424000000,18.915,-53.28804397583008
1663326965524000000,19.015,-55.16102981567383
1663326965641000000,19.132,-59.23527145385742
1663326965740000000,19.231,-41.425933837890625
1663326965840000000,19.331,-46.15738296508789
1663326965940000000,19.431,-48.194435119628906
1663326966040000000,19.531,-50.69462203979492
1663326966140000000,19.631,-40.816219329833984
1663326966240000000,19.731,-43.69172668457031
1663326966357000000,19.848,-44.56052780151367
1663326966457000000,19.948,-48.370941162109375
1663326966556000000,20.047,-49.7523078918457
1663326966656000000,20.147,-41.95066833496094
1663326966756000000,20.247,-41.974151611328125
1663326966856000000,20.347,-38.158775329589844
1663326966956000000,20.447,-41.02988052368164
1663326967056000000,20.547,-41.495574951171875
